id,question,option1,option2,option3,option4,created_at
1,魚の「マグロ」を漢字で書いたものは次のうちどれ？,鮪,鰯,鯛,鰻,2024-12-17
2,海の生物「イカ」を漢字で書いたものは次のうちどれ？,烏賊,海星,蛤,海月,2024-12-18
3,花の「バラ」を漢字で書いたものは次のうちどれ？,薔薇,黒松,鈴蘭,椿,2024-12-18
4,「馬大頭」はなんと読む？,オニヤンマ,スズメバチ,カブトムシ,キリギリス,2024-12-17
5,「柳葉魚」はなんと読む？,ししゃも,さんま,ひじき,まぐろ,2024-12-18
6,「吾輩は猫である」の著者は次のうち誰？,夏目漱石,樋口一葉,渋沢栄一,岸田文雄,2024-12-18
7,日本発症の食べ物は次のうちどれ？,ナポリタン,カルボナーラ,ミネストローネ,ティラミス,2024-12-18
8,日本の首都は次のうちどれ？,東京都,京都府,北海道,新潟県,2024-12-18
9,日本の都道府県の数は次のうちどれ？,47,10,53,64,2024-12-18
10,日本の国鳥は次のうちどれ？,キジ,カラス,トキ,キツツキ,2024-12-18
11,日本の初代内閣総理大臣は次のうち誰？,伊藤博文,黒田清隆,菅義偉,岸田文雄,2024-12-18
12,国民の三大義務ではないものは次のうちどれ？,居住の義務,教育の義務,勤労の義務,納税の義務,2024-12-18
13,日本国旗に使用されている色は次のうちどれ？,赤,緑,紫,青,2024-12-18
14,富士山の高さは次のうちどれ？,3776m,376m,37766m,37m,2024-12-18
15,東京スカイツリーの高さは次のうちどれ？,634m,376m,417m,5m,2024-12-18
16,「心理学」を英語で書いたものは次のうちどれ？,Psychology,Physics,Physiology,Pathology,2024-12-18
17,「スイカ」を英語で書いたものは次のうちどれ？,Watermelon,Orange,Melon,Apple,2024-12-18
18,「リンゴ」を英語で書いたものは次のうちどれ？,Apple,Orange,Melon,Strawberry,2024-12-18
19,「September」は何月？,9月,8月,10月,11月,2024-12-18
20,「Sunday」は何曜日？,日曜日,月曜日,火曜日,木曜日,2024-12-18
21,日本で１番目に面積が大きい都道府県は次のうちどれ？,北海道,長野県,新潟県,岩手県,2024-12-18
22,日本で２番目に面積が大きい都道府県は次のうちどれ？,岩手県,福島県,新潟県,長野県,2024-12-18
23,日本で１番目に面積が小さい都道府県は次のうちどれ？,香川県,大阪府,東京都,沖縄県,2024-12-18
24,日本で１番目に長い川は次のうちどれ？,信濃川,利根川,石狩川,木曽川,2024-12-18
25,日本で２番目に長い川は次のうちどれ？,利根川,信濃川,阿賀野川,最上川,2024-12-18
26,日本で１番目に面積が大きい湖は次のうちどれ？,琵琶湖,サロマ湖,猪苗代湖,浜名湖,2024-12-18
27,サッカーにおける１チームの試合時の人数は何人？,11人,9人,10人,12人,2024-12-18
28,野球における１チームの試合時の人数は何人？,9人,8人,10人,11人,2024-12-18
29,バスケットボールにおける１チームの試合時の人数は何人？,5人,4人,6人,7人,2024-12-18
30,1991年に設立された日本初のプロサッカーリーグは次のうちどれ？,Jリーグ,Bリーグ,Sリーグ,Fリーグ,2024-12-18
31,「キャプテン翼」といえば、何のスポーツを題材にした漫画？,サッカー,バスケットボール,野球,バレーボール,2024-12-03
32,アメリカ合衆国の首都は次のうちどれ？,ワシントンD.C.,ニューヨーク,シアトル,シカゴ,2024-12-18
33,アメリカ合衆国の州の数は次のうちどれ？,50,40,60,70,2024-12-18
34,世界で１番人口が多いのはインド、２番目は中国、では３番目は次のうちどれ？,アメリカ,日本,イギリス,カナダ,2024-12-18
35,１日は何分？,1440分,360分,720分,240分,2024-12-18
36,１分は何秒？,60秒,30秒,90秒,120秒,2024-12-18
37,１mは何cm？,100cm,10cm,1000cm,10000cm,2024-12-18
38,三角形の内角の和は次のうちどれ？,180度,90度,360度,720度,2024-12-18
39,太陽は東西南北のどこから昇る？,東,西,南,北,2024-12-18
40,日本の硬貨は何種類？,6種類,4種類,5種類,7種類,2024-12-18
41,日本の100円硬貨に描かれている花は次のうちどれ？,桜,梅,菊,椿,2024-12-18
42,88歳を表すのは次のうちどれ？,米寿,還暦,喜寿,傘寿,2024-12-18
43,日の出から日の入りまでの時間がもっとも長い日は次のうちどれ？,夏至,冬至,節分,彼岸,2024-12-18
44,世界三代料理といえば中国料理、トルコ料理、あと１つは？,フランス料理,日本料理,イタリア料理,インド料理,2024-12-18
45,世界三代珍味といえばキャビア、トリュフ、あと１つは？,フォアグラ,フカヒレ,アボカド,カラスミ,2024-12-18
46,調味料の「さしすせそ」のうち「せ」は次のうちどれ？,しょうゆ,砂糖,味噌,酢,2024-12-18
47,童話「桃太郎」のお供ではない動物は次のうちどれ？,クマ,犬,猿,キジ,2024-12-18
48,「メ〜」と鳴く動物は次のうちどれ？,ヤギ,牛,豚,犬,2024-12-18
49,ドライアイスは何が固まったもの？,二酸化炭素,水,酸素,窒素,2024-12-18
50,水に溶けやすい気体は次のうちどれ？,アンモニア,水素,酸素,二酸化炭素,2024-12-18
51,哺乳類ではない動物は次のうちどれ？,サメ,イルカ,シャチ,クジラ,2024-12-18
52,27+38の答えは次のうちどれ？,65,55,75,63,2024-12-18
53,5+7の答えは次のうちどれ？,12,15,17,11,2024-12-18
54,100-29の答えは次のうちどれ？,71,51,61,81,2024-12-18
55,43-34の答えは次のうちどれ？,9,7,8,6,2024-12-18
56,2×7の答えは次のうちどれ？,14,12,16,18,2024-12-18
57,12×4の答えは次のうちどれ？,48,36,42,60,2024-12-18
58,121÷11の答えは次のうちどれ？,11,10,21,20,2024-12-18
59,56÷8の答えは次のうちどれ？,7,6,8,9,2024-12-18
60,10+20-3の答えは次のうちどれ？,27,23,25,29,2024-12-18
